#Archive/File	Name	Time	Size	Type
Archive	GSE29617_RAW.tar	01/17/2013 15:27:10	205701120	TAR
File	GSM733942.CEL.gz	05/31/2011 12:34:48	2232194	CEL
File	GSM733942.chp.gz	05/31/2011 12:34:48	382359	CHP
File	GSM733943.CEL.gz	05/31/2011 12:34:50	2243984	CEL
File	GSM733943.chp.gz	05/31/2011 12:34:50	382368	CHP
File	GSM733944.CEL.gz	05/31/2011 12:34:52	2159027	CEL
File	GSM733944.chp.gz	05/31/2011 12:34:52	382491	CHP
File	GSM733945.CEL.gz	05/31/2011 12:34:54	2166724	CEL
File	GSM733945.chp.gz	05/31/2011 12:34:54	382406	CHP
File	GSM733946.CEL.gz	05/31/2011 12:34:56	2185050	CEL
File	GSM733946.chp.gz	05/31/2011 12:34:56	382476	CHP
File	GSM733947.CEL.gz	05/31/2011 12:34:58	2130156	CEL
File	GSM733947.chp.gz	05/31/2011 12:34:58	382385	CHP
File	GSM733948.CEL.gz	05/31/2011 12:34:59	2080941	CEL
File	GSM733948.chp.gz	05/31/2011 12:34:59	382321	CHP
File	GSM733949.CEL.gz	05/31/2011 12:35:01	2130045	CEL
File	GSM733949.chp.gz	05/31/2011 12:35:01	382165	CHP
File	GSM733950.CEL.gz	05/31/2011 12:35:03	2207259	CEL
File	GSM733950.chp.gz	05/31/2011 12:35:03	382354	CHP
File	GSM733951.CEL.gz	05/31/2011 12:35:05	2180380	CEL
File	GSM733951.chp.gz	05/31/2011 12:35:05	382202	CHP
File	GSM733952.CEL.gz	05/31/2011 12:35:07	2136703	CEL
File	GSM733952.chp.gz	05/31/2011 12:35:07	382447	CHP
File	GSM733953.CEL.gz	05/31/2011 12:35:08	2228926	CEL
File	GSM733953.chp.gz	05/31/2011 12:35:09	382636	CHP
File	GSM733954.CEL.gz	05/31/2011 12:35:11	2180098	CEL
File	GSM733954.chp.gz	05/31/2011 12:35:11	382419	CHP
File	GSM733955.CEL.gz	05/31/2011 12:35:13	2219474	CEL
File	GSM733955.chp.gz	05/31/2011 12:35:13	382335	CHP
File	GSM733956.CEL.gz	05/31/2011 12:35:14	2174241	CEL
File	GSM733956.chp.gz	05/31/2011 12:35:15	382368	CHP
File	GSM733957.CEL.gz	05/31/2011 12:35:16	2173810	CEL
File	GSM733957.chp.gz	05/31/2011 12:35:17	382323	CHP
